NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PP01300;PETROPLAS;PP-C-0100-02-03;PRODUCCION, TUBERIAS, ESTABILIDAD, TERMICA, DINAMICA,;MANAURE, ARELI;;;CURVAS DE FUSI‡N DE COMPUESTOS DE PVC E IDENTIFICACI‡N DE MUESTRAS RESIDUALES EN LINEA DE PRODUCCI‡N DE TUBER÷A;INFORME TECNICO;2000;EFECTUAR LAS CURVAS DE FUSI‡N DE DOS COMPUESTOS DE PVC E IDENTIFICAR  MUESTRAS ENCONTRADAS COMO AGLOMERADOS EN EL MOLDE, ENVIADOS DE LA EMPRESA TUBRICA.;INFORMES/PETROPLAS/2000/IN00157.PDF;PETROPLAS
PP013096;PETROPLAS;PP-S-08;CONCENTRACION, PLASTIFICANTE, ESTABILIDAD TERMICA,;CASTILLO MAGDA;;;DESARROLLO DE COMPUESTOS DE PVC PARA MANGUERAS - PARTE INTERNA Y EXTERNA;;1996;DESARROLLAR Y VALIDAR EXPERIMENTALMENTE EL DESEMPE•O DE FORMULACIONES DE PVC PARA LAS SIGUIENTES APLICACIONES: BOTELLAS (ACEITE Y VINAGRE), SUELAS DE ZAPATOS, CALZADOS TRANSPARENTES, MANGUERAS DE JARDIN, CABLES DE 60¯C DE TEMPERATURA DE OPERACION Y PELICU;documentone.htm;PEQUIVEN
PP013196;PETROPLAS;PP-S-07;SECADO, MATERIAL, DESPERDICIO, GRANULOMETRIA, ABSO;CASTILLO MAGDA;;;IDENTIFICACION DE APLICACIONES COMERCIALES DE LOS LODOS DE PVC. INFORME FINAL;;1996;IDENTIFICAR LA SAPLICACIONES A LAS CUALES PUEDEN SER DIRIGIDOS LOS SOLIDOS PROCEDENTES DEL SISTEMA DE EFLUENTES DE LA PLANTA DE PVC.;documentone.htm;PEQUIVEN
PP013296;PETROPLAS;PP-S-04-01-01;DESCRIPCION, PROCESO, PRODUCCION, COMPUESTOS, DIAG;GONZALEZ NEIL;;;SISTEMA DE CALIDAD DEL PROCESO DE PRODUCCION DE COMPUESTOS DE ROVIPLAST. DESARROLLO E IMPLANTACION;;1996;EL PROPOSITO DEL INFORME ES PRESENTAR UN AVANCE DEL PROYECTO PP-S-04-01-01, EL CUAL COMPRENDE LAS ACTIVIDADES REALIZADAS EN EL PERIODO ABRIL-AGOSTO DEL A•O 1996. EL OBJETIVO GENERAL DEL PROYECTO ES DESARROLLAR UN SISTEMA DE CALIDAD PARA EL PROCESO DE PROD;documentone.htm;PEQUIVEN
PP013396;PETROPLAS;PP-S-02-02-01, PP-S-01-01-01;OBTENCION, ANALISIS, MATERIALES, REACCIONES, VIDRI;MARQUEZ ESTEBAN;;;USO DE ANTIOXIDANTES EN LA SINTESIS DE PVC: AGENTE DE PARADA CORTA MEJORAS EN LA ESTABILIDAD TERMICA DE LA RESINA;;1996;DETERMINAR SI TECNICAMENTE ES FACTIBLE UTILIZAR EL BHT COMO AGENTE DE PARADA CORTA EN EL PROCESO DE PRODUCCION DE PVC POR SUSPENSION Y EVALUAR SI EL USO DE ANTIOXIDANTES AL COMIENZOS DE LA POLIMERIZACION CONTRIBUYE A INCREMENTAR LA ESTABILIDAD TERMICA DEL;documentone.htm;PEQUIVEN
PP013496;PETROPLAS;PP-S-02;PLAN DE TRABAJO, CONCENTRACION, IONES, TPP, CARGAS;MARQUEZ ESTEBAN;;;ANALISIS D ELA VARIABILIDAD DE LA CALIDAD DEL PVC SUSPENSION. IDENTIFICACION CAUSAS GRANULOMETRIA VARIABLE;;1996;EL OBJETIVO DEL INFORME QUE SE PRESENTARA A CONTINUACION ES REPORTAR LOS RESULTADOS DEL TRABAJO DE INVESTIGACION QUE CONDUJO UN EQUIPO DE TRABAJO, CONFORMADO POR PERSONAL DE PETROPLAS E INDESCA, DIRIGIDO A DETERMINAR LAS CAUSAS DE FLUCTUACIONES GRANULOMET;documentone.htm;PEQUIVEN
PP013596;PETROPLAS;PP-S-12-01-01;ALCANCE, CONSUMO, MANPA, VENEPAL, PEBD, PELICULA E;CASTILLO MAGDA, BERMUDEZ ANTONIO;;;SISTEMA DE EMPAQUE Y EMBALAJE PARA PVC. EVALUACION DE SACOS Y LAS PELICULAS ESTIRABLES 1ERA FASE. 2DO INFORME DE AVANCE;;1996;COMO PARTE DE LOS PROYECTOS CONTEMPLADOS PARA LA GERENCIA COMERCIAL DE PLASTICOS PETROQUIMICA, C.A. SE ENCUENTRA LA OPTIMIZACION DEL SISTEMA DE EMPAQUE Y EMBALAJE DE LAS RESINAS DE PVC, PROYECTO QUE SE CONCIBE CON LA FINALIDAD DE CONTRIBUIR A EVITAR RECHA;documentone.htm;PEQUIVEN
PP013696;PETROPLAS;PP-S-12;HOMOTIPOS, IMPACTO, CAIDA LIBRE, MATERIALES, PAPEL;CASTILLO MAGDA;;;OPTIMIZACION DEL SISTEMA DE EMPAQUES-EMBALAJE. EVALUACION DE SACOS PARA PVC. 3ER INFORME DE AVANCE;;1996;DETERMINAR LAS PROPIEDADES DE LOS SACOS DE DOS PRODCUTORES DE PVC INTERNACIONALES, CON LA FINALIDAD DE ESTABLECER CUALES SON SUS PROPIEDADES Y COMPARARLAS CON LAS DEL ACTUAL PROVEEDOR DE PETROPLAS (MANPA), PARA DE ETA MANERA TENER REFERENCIAS QUE PERMITAN;documentone.htm;PEQUIVEN
PP013797;PETROPLAS;PP-S-12;DEFINITIONS, PURPOSE, CONTRACT, PAYMENT, CONFLICT;GEON;;;CONTRATO LICENCIA PLANTA PVC-II Y DE ASISTENCIA CON LA EMPRESA GEON;;1997;CONTRATO LICENCIA PLANTA PVC-II Y DE ASISTENCIA CON LA EMPRESA GEON;documentone.htm;PEQUIVEN
PP013897;PETROPLAS;PP-S-12;OPTIMIZACION, EMPAQUE, EMBALAJE, PVC, PELICULA EST;CASTILLO MAGDA, MORALES ILIANA;;;EVALUACION DE SACOS DE LANGSTON Y MANPA Y PELICULA ESTIRABLE DE PLASTICOS GUARENAS. 4TO INFORME DE AVANCE;;1997;DETERMINAR LAS PROPIEDADES DE LOS SACOS DE PVC UN PROVEEDOR ALTERNO LANGSTON CO. (USA), CON LA FINALIDAD DE ESTABLECER CUALES SON SUS PROPIEDADES Y COMPARARLAS CON LAS DEL ACTUAL PROVEEDOR DE PETROPLAS (MANPA) PARA APOYAR LA DECISION DE ACEPTACION DE LAS;documentone.htm;PEQUIVEN
PP013997;PETROPLAS;PP-S-08-01-01;PREPACION, COMPUESTO, SUMINISTROS, BOTELLAS, ATOXI;CASTILLO MAGDA;;;RECOPILACION DE INFORMES TECNICOS PROYECTO: COMPUESTOS DE PVC PARA EXPORTACION 1995-1996;;1997;SE PREPARARON, EN LA EMPRESA ROVIPLAS, 35 FORMULACIONES DE LAS DIFERENTES APLICACIONES DE BOTELLAS ATOXICAS, MANGUERAS PARTE EXTERNA E INTERNA, SUELAS DE ZAPATOS ESPUMADAS, CALZADOS TRANSPARENTES Y PELICULAS PARA SACHET. SE LES DETERMINARON LAS DIFERENTES;documentone.htm;PEQUIVEN
PP01400;PETROPLAS;PP-C-0100-02-04;MODIFICADOR DE IMPACTO, PVC, DSC, FTIR, BIOTEX,;MANAURE, ARELI;;;IDENTIFICACI‡N Y ANµLISIS DE UNA MUESTRA DE MATERIAL DENOMINADO BIOTEX;INFORME TECNICO;2000;IDENTIFICAR Y ANALIZAR COMPONENTES UNA MUESTRA DE MATERIAL BIOTEX, ENVIADOS DE LA EMPRESA MANUFACTURAS TITINA.;INFORMES/PETROPLAS/2000/IN00158.PDF;PETROPLAS
PP014097;PETROPLAS;PP-S-13-01-01;COMPUESTOS, BOTELLAS, PVC, MODIFICADORES DE IMPACT;CASTILLO MAGDA, MORALES ILIANA;;;EVALUACION DE ADITIVOS METABLEN Y BLENDEX;;1997;SE EVALUO EL COMPORTAMIENTO DE LOS ADITIVOS METABLEN PP-550SD, P710 Y C-301 COMO SUSTITUTOS DE LOS KANE ACE B52, PA20, PA100. ASIMISMO, SE EVALUARON LOS ADITIVOS BLENDEX B590 Y B415. CON BASE EN LOS RESULTADOS OBTENIDOS, LOS ADITIVOS ALTERNOS NO DETERIORA;documentone.htm;PEQUIVEN
PP014197;PETROPLAS;PP-S-13;HOMOTIPO, PRODUCCION, COMPUESTOS, BOTELLAS, EXPORT;CASTILLO MAGDDA, MORALES ILIANA;;;EVALUACION DE ADITIVOS LUBRIOL Y HOESCHT;;1997;COMPARAR LA EFICIENCIA DEL ESTABILIZANTE TERMICO HOSTASTAB SnS 10 vs IRGASTAB 17 MOK. COMPARAR LA EFICIENCIA DE LOS LUBRICANTES LUBRIOL BF4, LUBRIOL E 196, CERA HOEESCHT PED 191 Y CERA MONTANICA E.;documentone.htm;PEQUIVEN
PP014297;PETROPLAS;PP-S-05;ESTABILIDAD TERMICA, HDT, DUREZA, FORMULACIONES, B;CASTILLO MAGDA, MORALES ILIANA;;;EVALUACION MODIFICADORES DE IMPACTO DE ROHM & HAAS Y ROVIPLAST. INFORME DE AVANCE;;1997;COMPARAR LAS RESISTENCIA AL IMPACTO DE LOS MODIFICADORES SUMINISTRADOS. DETERMINAR SI DETERIORAN LA ESTABILIDAD TERMICA DE LOS COMPUESTOS Y LA HDT, Y SI MODIFICAN LA DUREZA.;documentone.htm;PEQUIVEN
PP014397;PETROPLAS;PP-S-05-03-10;PVC, FORMULACIONES, EFICIENCIA, ALTENOS, ESTABILID;MORALES ILIANA;;;EVALUACION DE MODIFICADORES DE IMPACTO DE ROHM & HAAS Y ROVIPLAST. INFORME FINAL;;1997;SE PREPARARON FORMULACIONES DE BOTELLAS ATOXICAS CON DIFERENTES MODIFICADORES DE IMPACTO Y SE LES DETERMINARON LAS PROPIEDADES DE ESTABILIDAD TERMICA, DUREZA E IMPACTO PARA SELECCIONAR EL ADITIVO ALTERNO ADECUADO PARA SUSTITUIR AL METABLEN C301 EMPLEADO E;documentone.htm;PEQUIVEN
PP014497;PETROPLAS;PP-S-10;TECNICAS, CARACTERISTICAS, MERCADO, POTENCIAL, EST;ZAMBRANO FLOR, MENDEZ FACUNDO;;;APLICACIONES EN EL MERCADO DE PLASTICULTURA EN VENEZUELA DE RSINAS PVC;;1997;DEFINIR LAS APLICACIONES EN LAS CUALES SEA FACTIBLE EL USO DE LAS RSINAS DE PVC EN TECNICAS DE PLSTICULTURA.;documentone.htm;PEQUIVEN
PP014597;PETROPLAS;PP-S-01;BHT, BISFENOL A, AGENTE DE PARADA CORTA, TOXICIDAD;MARQUEZ ESTEBAN;;;USO DE ANTIOXIDANTES EN LA SINTESIS DE PVC SUSPENSION;;1997;EL PRESENTE TRABAJO PRESENTA LOS RESULTADOS DE LA EVALUACION REALIZADA A ESCALA PILOT PARA COMPROBAR LA EFECTIVIDAD DEL BHT E IMPLANTAR SU USO INDUSRIALEMTE. ADICIONALMENTE, COMPROBAR QUE EL USO DE BHT EN EXCESO DEL NECESARIO PARA DETENER LA REACCION PUED;documentone.htm;PEQUIVEN
PP014697;PETROPLAS;PP-S-06-01-01;FORMULACIOM, EFICIENCIA, ALTERNOS, ESTABILIDA TERM;MORALES ILIANA;;;PROCESABILIDAD SHINTECH VS PETROCOL PVC-500 EN COMPUESTOS PARA CABLES ELABORADOS POR GRAVINIL.;;1997;"SE EVALUARON TRES FORMULACIONES DE CABLES PREPARADAS POR GRAVINIL CON DIFERENTES RESINAS DE PVC GRADOS SHINTECH SE1300, SE1000 Y PVC-500 DE PETROCOL; SE DETERMINARON LAS PROPIEDADES DE ESTABILIDAD TERMICA, CURVAS DE OPERACION, RESISTENCIA A LA TENSION Y A";documentone.htm;PEQUIVEN
PP014797;PETROPLAS;PP-S-01;INCREMENTO, PRODUCTIVIDAD, INICIADOR, REACCION ISO;MARQUEZ ESTEBAN;;;INCREMENTO DE LA PRODUCTIVIDAD EN LA PLANTA PVC SUSPENSION MEDIANTE EL USO DE PERFILES DE TEMPERATURA DE REACCION. EVALUACION A ESCALA PILOTO.;;1997;SE PRESENTAN LOS RESULTADOS DE LAS EVALUACIONES A NIVEL PILOTO PARA ESTUDIAR EL EFECTO DEL USO DE PERFILES DE TERMPERATURA EN SUSTITUCION DE LA ISOTERMA DE POLIMERIZACION, DONDE SE PERSIGUE COMO OBJETO LA REDUCCION DEL TIEMPO DE POLIMERIZACION. TEORICAMEN;documentone.htm;PEQUIVEN
PP014897;PETROPLAS;;DESING, BASIS, MEMORANDUM, CAPACITY, EQUIPMENT, PO;TECHNIPETROL;;;PROYECTO PVC II PLANT - EL TABLAZO;;1997;PROYECTO PVC II PLANT - EL TABLAZO;documentone.htm;PEQUIVEN
PP014997;PETROPLAS;PP-S-02;MECANISMOS, AGENTES DE PARADA CORTA, DEGRADACION T;MARQUEZ ESTEBAN;;;USO DEL BHT COMO AGENTE DE PARADA CORTA EN SUSTITUCION DEL BISFENOL-A EN LA SINTESIS DEL PVC SUSPENSION. EFECTO SOBRE EL PROCESAMIENTO Y REVISION BIBLIOGRAFICA;;1997;EL OBJETIVO DE ESTE INFORME ES VALIDAR QUE EL USO DEL BHT NO AFECTA LA PROCESABILIDAD DE LA RESINA PVC CON EL BHT Y, POR OTRO LADO, CONOCER LOS AGENTES DE PARADA CORTA O INHIBIDORES MAS COMUNMENTE UTILIZADOS EN EL PROCESO DE POLIMERIZACION DE MVC, A NIVEL;documentone.htm;PEQUIVEN
PP01500;PETROPLAS;PP-C-0100-02-05;PVC, VINILEN, 145, 150, GOMAS DE BORRAR, PLASTIFCANTE,;MORALES, ILIANA;;;ASISTENCIA TECNICA EMPRESA MAYKA;INFORME TECNICO;2000;APOYAR TêCNICAMENTE A LA EMPRESA MAYKA EN EL PROCESO DE HOMOLOGACI‡N DE LA CALIDAD DE GOMAS DE BORRAR IMPORTADOS.;INFORMES/PETROPLAS/2000/IN00163.PDF;PETROPLAS
PP015097;PETROPLAS;PP-S-01;DEGRADACION TERMICA, DISPERSIONES ACUOSAS, ESTABIL;MARQUEZ ESTEBAN;;;USO DE BHT COMO AGENTE DE PARADA CORTA EN LA SINTESIS DE PVC-SUSPENSION;;1997;A TRAVES DE CONSULTAS BIBLIOGRAFICAS Y CON PERSONAL ESPECIALIZADO EN EL AREA DE PVC SE LLEGO A LA CONCLUSION QUE LOS ANTIOXIDANTES EN GENERAL PUEDEN SER UTILIZADOS COMO AGENTES DE PARADA CORTA, Y ENTRE ESTOS BHT ES UNO DE LOS DE MENOR COSTO, RAZONES QUE L;documentone.htm;PEQUIVEN
PP015197;PETROPLAS;PP-S-08-02-01;ASESORIA TECNICA, ADIESTRAMIENTO, FORMULACIONES, E;FIGUEROA JESUS;;;APOYO TECNOLOGICO A LA PRODUCCION DE COMPUESTOS  DE PVC EN ROVIPLAST;;1997;HACER UN COMPENDIO DE LAS ACTIVIDADES MAS IMPORTANTES EFECTUADAS EN ROVIPLAST DURANTE LA ASISTENCIA TECNICA PRESTADA A PETROPLAS EN LA PRODUCCION DE COMPUESTOS DE PVC.;documentone.htm;PEQUIVEN
PP015297;PETROPLAS;PP-S-12;SACOS, PAPEL, PELICULA ESTIRABLE, PELBD, MUESTRE E;SANCHEZ JOHAN;;;MEJORAS DE LA CALIDAD DEL EMPAQUE Y EMBALAJE PARA PVC;;1997;CON EL DESARROLLO DE ESTE PROYECTO SE BUSCA MEJORAR EL SISTEMA DE EMPAQUE Y EMBALAJE DE LAS RESINAS DE PVC DE PETROPLAS, CON LA FINALIDAD DE EVITAR RECHAZOS POR MALA ENVOLTURA Y/O PERDIDAS DE MATERIAL, ASI COMO TENER UNA MAYOR ACEPTACION EN LOS MERCADOS D;documentone.htm;PEQUIVEN
PP015397;PETROPLAS;PP-S-08-02-01;MEZCLADO EN SECO, EXTRUSION, FORMULACIONES, PVC, F;SANCHEZ JOHAN;;;COMPUESTOS PARA CALZADO TRANSPARENTE, SUELA DE ZAPATO ESPUMADO Y MANGUERAS.;;1997;EL OBJETIVO GENERAL DEL PROYECTO QUE HA SIDO DESARROLLADO DESDE 1995, ES PENETRAR MERCADOS DE EXPORTACION, COMERCIALIZANDO COMPUESTOS DE PVC PARA LAS APLICACIONES CITADAS. CON EL PRESENTE INFORME, SE EVALUO ESPECIFICAMENTE EL DESEMPE•O DE LAS FORMULACIONE;documentone.htm;PEQUIVEN
PP015497;PETROPLAS;PP-S-08-03;CARACTERISTICAS, LAMINAS CLIMATIZADAS, BASE DE ASF;PETROPLAS;;;APOYO TECNICO A CLIENTES BITUPLAS Y VENCOR: PERFILES TIPO TEJAS DE PVC (LAMINAS ONDULADAS);;1997;EL DESARROLLO DE ESTE PROYECTO HA SIDO AFECTADO POR LA FALTA DE SUFICIENTE INFORMACION, JUNTO A QUE LOS DISTRIBUIDORES NO HAN SUMINISTRADO OPORUNAMENTE INFORMACION ACTUALIZADA SOBRE COSTOS DE ADITIVOS. ESTO ULTIMO NO HA PERMITIDO CONCRETAR LA EVALUACION D;documentone.htm;PEQUIVEN
PP015597;PETROPLAS;PP-S-01-01-01;MVC, NIVELES DE TEMPERATURA, PRODUCTIVIDAD, VALOR;MARQUEZ ESTEBAN;;;USO DE PERFILES DE TEMPERATURA EN LA SINTESIS DE PVC-SUSPENSION;;1997;EN 1995 SE UTILIZO UN MODELO CINETICO DE POLIMERIZACION DE MVC PARA ESTUDIAR LA POSIBILIDAD DE DISMINUIR EL TIEMPO DE CICLO EN EL PROCESO DE PETROPLAS MEDIANTE CAMBIOS EN EL PERFINL DE TERMPERATURA DE SINTESIS. COMO CONDICION PAR ALOGRAR ESTE OBJETIVO, DE;documentone.htm;PEQUIVEN
PP015697;PETROPLAS;PP-S-09-03-01;TUBERIAS, PERFILES, PVC, MANGUERAS, ADITIVOS, JARD;VERA MARIANGELA, MARTINEZ RAFAEL;;;SISTEMA EXPERTO, FORMULADORES DE COMPUESTOS FLEXIBLES. MANUAL DE USUARIO;;1997;CON ESTE PROYECTO SE BUSCA ELABORAR PARA LA GERENCIA COMERCIAL DE PETROPLAS, UNA HERRAMIENTA DE APOYO TECNOLOGICO QUE PERMITA ASESORAR A LOS TRANSFORMADORES DE PVC EN EL MANEJO, PREPARACION Y PROCESAMIENTO DE FORMULACIONES DE COMPUESTOS FLEXIBLES DONDE, D;documentone.htm;PEQUIVEN
PP015798;PETROPLAS;PP-S-07-98;ISO 9002, ISO 9001, DIAGNOSTICO, REVISION DE CONTR;GONZALEZ NEIL, MIRO GUILLERMO;;;APOYO A LA CERTIFICACION DE CALIDAD DE CLIENTES. DIAGNOSTICO Y ASESORAMIENTO TECNICO DEL SISTEMA DE CALIDAD DE LA EMPRESA MOM;;1998;EL ESTUDIO TIENE COMO OBJETO, DENTRO DE LAS ACTIVIDADES DIRIGIDAS AL APOYO A LOS CLIENTES D EPETROPLAS EN LA C.A. CENRTIFICACION DE SUS CLIENTES DE CALIDAD, DIAGNOSTICAR, DISE•AR Y SESORAR TECNICAMENTE A LA EMPRESA MOM, (MANUFACTURAS OLIMPIADAS MARACAY, C;documentone.htm;PEQUIVEN
PP015898;PETROPLAS;PP-S-09-01-03;ESTABILIZANTES TERMICOS, ESTABILIDAD TERMICA DINAM;MORALES ILIANA;;;VALIDACION EXPERIMENTAL DEL SISTEMA EXPERTO FRMULACIONES DE PVC. EVALUACION DEL TIPO Y CONTENIDO DE MODIFICADORES DE IMPACTO Y ESTABILIZANTES TERMICOS EN COMPUESTOS RIGIDOS;;1998;"SE EVALUARON 22 FORMULAICONES CON VARIACIONES EN EL TIPO Y CONTEIDO DE MODIFICADOR D EIMPACTO, Y VARIACIONES EN EL TIPO Y CONTEIDO DEL ESTABILIZANTE TERMICO; LAS PROPIEDADES MEDIDAS INCLUYEN: ESTABILIDAD TERMICA DINAMICA, PROPIEADES MECANICAS EN TENSION Y";documentone.htm;PEQUIVEN
PP015998;PETROPLAS;PP-S-01-01-01;TANQUES, ADITIVOS, INICIADOR, MEZCLADO, CONCENTRAC;BELLO JUAN, SEMPRUN RICHARD;;;AUDITORIA AL AREA DE PREPARACION DE SOLUCIONES DE LA PLANTA DE PVC;;1998;SE HA REALIZADO UNA AUDITORIA A LOS PROCEDIMIENTOS DE PREPARACION DE LOS TANQUES DE ADITIVOS 1 Y 2 E INICIADOR, ASI COMO UN MUESTREO A DICHOS TANQUES CON LA FINALIDAD DE DETERMINAR LAS CAUSAS DE LA VARIABILIDAD OBSERVADA EN LOS VALORES REPORTADOS PARA LAS;documentone.htm;PEQUIVEN
PP01600;PETROPLAS;PP-C-0100-02-07;PVC, VINILEN, MEZCLADO, 115, MOLDEO, INYECCION, PROPIEDADES FISICAS, GUIA DE PROBLEMAS Y SOLUCIONES,;TORRES, AGUSTIN;;;INFORMACION TECNICA RELACIONADA CON LOS PRODUCTOS VINILEN 115, 140, 145, Y 150;INFORME TECNICO;2000;TRADUCCION AL INGLES INFORMACION TECNICA RELACIONADA CON LOS PRODUCTOS VINILEN 115, 140, 145 Y 150.;INFORMES/PETROPLAS/2000/IN00168.PDF;PETROPLAS
PP016098;PETROPLAS;PP-S-05-02-01;PVC, SUSPENSION, POLIMERIZACION, MVC, NOXOL, EVERC;MARQUEZ ESTEBAN;;;EVALUACION DE AGENTES ANTIINCRUSTANTES ALTERNOS;;1998;EN ESTE PROYECTO SE EVALUO A ESCALA PILOTO UN RECUBRIMIENTO ANTIINCRUSTANTE ALTERNO AL NOXOL DE CIRS EMPLEADO ACTUALMENTE EN EL PROCESO DE SINTESIS DE PVC SUSPENSION DE PETROPLAS PRODUCIDO POR 3V SIGMA: EL EVERCLEAN 104 NS. LA EVALUACION COMPRENDIO DOS AS;documentone.htm;PEQUIVEN
PP016198;PETROPLAS;PP-S-01-02-01;REVISION, ACTUALIZACION, ESPECIFICACIONES, RESIANS;SANCHEZ JOHAN;;;SISTEMA DE CLASIFICACION DE LOTES DE LAS RESINAS PP-140 Y PP-150;;1998;EL PRESENTE PROYECTO BUSCA COMO UNO DE SUS PRINCIPALES OBJETIVOS REALIZAR UNA REVISION Y ACTUALIZACION DE LAS ESPECIFICACIONES DE LAS RSIASN VINILEN TIPO SUSPENSION GRADO PP-140R, PP-140F Y PP-150, ESTABLECIENDO CUAL ES LA CALIDAD COMPETITIVA Y POSICIONAM;documentone.htm;PEQUIVEN
PP016298;PETROPLAS;PP-S-01;MECANISMO, BISFENOL-A, DEGRADACION TERMICA, DISPER;MARQUEZ ESTEBAN;;;USO DE BHT COMO AGENTE DE PARADA CORTA EN LA SINTESIS DE PVC-SUSPENSION MODIFICADO;;1998;A TRAVES DE CONSULTAS BIBLIOGRAFICAS Y CON EL PERSONAL ESPECIALIZADO EN EL AREA DE PVC SE LLEGO A LA CONCLUSION QUE LOS ANTIOXIDANTES EN GENERAL PUEDEN SER UTILIZADOS COMO AGENTES DE PARADA CORTA, Y ENTRE ESTOS EL BHT ES UNO SE LOS DE MENOR COSTO, RAZONES;informes\Petroplas\A•O 1998\USO DE BHT COMO AGENTE;
PP016398;PETROPLAS;;TEMPERATURAS, TIEMPO, ADITIVOS, MVC, PVC, RECOBRO,;BELLO JUAN;;;AUDITORIA A LA SECUENCIA DE CARGADO, REACCION Y DESCARGA DE LOS REACTORES DE SUSPENSION;;1998;S EHA REALIZADO UNA AUDITORIA A LA SECUENCIA DE CARGADO, REACCION Y DESCARGA DE LOS REACTORES DE SUSPENSION DE LA PLANTA PVC, CON LA FINALIDAD DE DETERMINAR LOS PASOS CRITICOS QUE PUEDAN SER MODIFICADOS PARA LOGRAR REDUCIR LA VARIABILIDAD DE LA CALIDAD DE;documentone.htm;PEQUIVEN
PP016498;PETROPLAS;PP-S-01-01-01;OJOS DE PESCADO, PUNTOS DE GENERACION, PROCESO, AR;MARQUEZ ESTEBAN;;;GUIA PARA EL ANALISIS DE DESVIACIONES DE CALIDAD DEL PVC SUSPENSION;;1998;GUIA PARA EL ANALISIS DE DESVIACIONES DE CALIDAD DEL PVC SUSPENSION;documentone.htm;PEQUIVEN
PP016598;PETROPLAS;PP-S-01-01-01;PROPIEDADES, GRANULOMETRIA, DENSIDAD APARENTE, PRO;MARQUEZ ESTEBAN;;;APOYO TECNICO A LA CONSOLIDACION DEL PROYECTO ACPV EN PLANTA PVC-I;;1998;LA PARTICIPACION DE INDESCA EN LA TARES DE CONSOLIDACION DE LA OPERACION DE PVC I SE CANALIZO DENTRO DE UN PROYECTO INTERNO HOMONIMO, CUYO OBJETIVO FUE APOYAR A PETROPLAS A INCREMENTAR LA PRODUCTIVIDAD DE LA PLANTA DE PVC I HASTA ALCANZAR UNA TASAS DE PRO;documentone.htm;PEQUIVEN
PP016698;PETROPLAS;PP-S-03;PROCESABILIDAD, PROCESO, DESEMPE•O, PRODUCTO TERMI;MARTINEZ RAFAEL;;;VISITA A LA EMPRESA PAVCO. EVALUACION DE DESEMPE•O INDUSTRIAL DE RESINA HYUNDAI GSH10 HOMOTIPO DEL GRADO PP-140;;1998;REALIZAR UN SEGUIMIENTO DETALLADO DEL DESEMPE•O DE LA RESINA HYUNDAI GSH10 DE TECNOLOGIA GEON, HOMOTIPO DEL PP-140R Y DE LA RESINA A (K-67) A PRODUCIR EN LA PLANTA PVC II.;documentone.htm;PEQUIVEN
PP016798;PETROPLAS;PP-S-04-01-01;APLICACIONES, RESINAS, BOTELLAS, CABLES, DESEMPE•O;MORALES ILIANA;;;POSICIONAMIENTO TECNOLOGICO DE NUEVOS GRADOS DE PVC. INFORME DE AVANCE;;1998;EL PRESENTE ESTUDIO, TIENE COMO OBJETIVO FUNDAMENTAL IDENTIFICAR LAS FORTALEZAS Y DEBILIDADES DE LAS RESINAS DE MAOR DEMANDA EN LOS SECTORES DE MAYOR IMPACTO COMERCIAL EN SURAMERICA. PETROPLAS PUEDE CON ESTE SOPORTE DISE•AR ESTRATEGIAS DE PENETRACION DE L;documentone.htm;PEQUIVEN
PP016898;PETROPLAS;PP-S-01;GRAMAJE, RESISTENCIA AL DESGARRE, PROPIEDADES TENS;MORALES ILIANA;;;EVALUACION DE SACOS DE LOS PROVEEDORES: MANPA, BEMPI Y PERCY KENT;;1998;EVALUAR LAS PROPIEDADES BASICAS: DETERMINACION DEL GRAMAJE Y RESISTENCIA AL IMPACTO Y PROPIEDADES COMPLEMENTARIAS: RESISTENCIA A LA TENCION DEL PAPEL, DE LA VALVULA Y FUERZA DE DESGARRE DE LOS SACOS DE PAPEL DE LOS PROVEEDORES PERCY KENT, MANPA Y BEMIS EN;documentone.htm;PEQUIVEN
PP016998;PETROPLAS;PP-S-01-03-02;PROPIEDADES, PVCA, HIDROLISIS, DENSIDAD APARENTE,;MARQUEZ ESTEBAN;;;EVALUACION DE ALCOHOLES POLIVINILICOS ALTERNOS. COMPARACION DEL DESEMPE•O DEL GOHSENOL GH-20 CONTRA EL ALCOTEX F88 W40;;1998;UNO DE LOS AGENTES DE SUSPENSION UTILIZADOS EN LA PLANTA DE PVC I DURANTE LA POLIMERIZACION DEL MVC ES UN ALCOHOL POLIVINILICO (PVC) CON GRADO DE HIDROLISIS 88% PRODUCIDO POR HARCO, EL ALCOTEX F88-W40. EL PROYECTO PERSIGUE COMO OBJETIVO COMERCIAL, REDUCIR;documentone.htm;PEQUIVEN
